gender,age,height,weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
1,21,1.82,72,1,1,1,3,Frequently,0,3,0,2,0,Sometimes,Public_Transportation,Normal_Weight
1,21,1.75,72,1,1,1,3,Frequently,0,3,0,2,0,Sometimes,Public_Transportation,Normal_Weight
0,20,1.66,60,1,0,3,3,Sometimes,0,2,0,1,0,Sometimes,Walking,Normal_Weight
0,21,1.55,50,0,1,2,3,Sometimes,0,2,0,0,0,Sometimes,Public_Transportation,Normal_Weight
0,21,1.61,54.5,1,1,3,3,Sometimes,0,3,0,0,1,Sometimes,Walking,Normal_Weight
0,20,1.5,44,0,1,2,3,Sometimes,0,1,0,0,0,Sometimes,Automobile,Normal_Weight
0,23,1.64,52,0,1,3,1,Sometimes,0,2,0,2,2,no,Public_Transportation,Normal_Weight
0,23,1.63,55,1,0,3,3,no,0,2,1,2,1,no,Public_Transportation,Normal_Weight
0,22,1.6,55,0,0,3,4,Always,0,3,0,2,0,no,Public_Transportation,Normal_Weight
1,23,1.68,62,0,0,2,4,Frequently,0,2,0,0,0,Sometimes,Automobile,Normal_Weight
1,22,1.7,70,1,1,2,3,Sometimes,0,1,0,0,1,Sometimes,Automobile,Normal_Weight
1,21,1.64,65,1,0,2,3,Sometimes,0,1,0,0,1,no,Public_Transportation,Normal_Weight
0,17,1.65,67,1,1,3,1,Sometimes,0,2,0,1,1,no,Walking,Normal_Weight
1,20,1.76,55,1,1,2,4,Sometimes,0,3,0,2,2,no,Public_Transportation,Insufficient_Weight
0,21,1.55,49,1,1,2,3,Sometimes,0,3,0,3,1,Sometimes,Public_Transportation,Normal_Weight
1,20,1.65,58,0,1,2,3,Sometimes,0,2,0,3,1,Sometimes,Public_Transportation,Normal_Weight
1,22,1.67,62,0,1,2,1,no,0,2,0,0,0,Sometimes,Public_Transportation,Normal_Weight
1,22,1.68,55,1,1,2,3,Sometimes,0,2,0,0,2,Sometimes,Automobile,Normal_Weight
0,21,1.66,57,1,1,2,3,Frequently,0,1,0,1,1,no,Public_Transportation,Normal_Weight
0,21,1.62,69,1,1,1,3,Frequently,0,2,0,0,1,no,Public_Transportation,Overweight_Level_I
1,23,1.8,90,1,1,1,3,Always,0,2,0,0,2,Frequently,Public_Transportation,Overweight_Level_II
1,23,1.65,95,1,1,2,3,Always,0,2,0,0,1,Frequently,Automobile,Obesity_Type_I
1,30,1.76,112,1,1,1,3,no,1,2,1,0,0,Frequently,Automobile,Obesity_Type_II
1,23,1.8,60,1,0,2,3,no,0,3,0,0,1,Sometimes,Public_Transportation,Normal_Weight
0,23,1.65,80,1,1,2,3,Always,0,2,0,0,2,no,Public_Transportation,Overweight_Level_II
0,22,1.67,50,1,0,3,3,no,0,3,1,2,1,Sometimes,Public_Transportation,Insufficient_Weight
0,24,1.65,60,1,0,2,3,Sometimes,0,3,1,1,0,no,Public_Transportation,Normal_Weight
1,19,1.85,65,1,0,2,3,Sometimes,0,3,0,2,1,Sometimes,Bike,Normal_Weight
1,24,1.7,85,1,1,2,3,Frequently,0,3,0,0,1,Frequently,Public_Transportation,Overweight_Level_II
0,23,1.63,45,1,0,3,3,Sometimes,0,3,1,2,0,no,Public_Transportation,Insufficient_Weight
0,24,1.6,45,1,0,2,3,no,0,2,0,1,0,no,Public_Transportation,Insufficient_Weight
0,24,1.7,80,1,1,2,3,Sometimes,0,3,0,0,0,no,Public_Transportation,Overweight_Level_II
0,23,1.65,90,1,1,2,3,Sometimes,0,3,0,0,1,no,Public_Transportation,Obesity_Type_I
1,23,1.65,60,1,0,2,3,Sometimes,0,2,0,0,0,Sometimes,Public_Transportation,Normal_Weight
0,19,1.63,58,0,0,3,3,Sometimes,0,2,1,0,0,no,Public_Transportation,Normal_Weight
1,30,1.8,91,1,1,2,3,Frequently,0,2,0,0,0,Sometimes,Public_Transportation,Overweight_Level_II
1,23,1.67,85.5,1,1,2,3,Always,0,2,0,0,1,no,Public_Transportation,Obesity_Type_I
0,19,1.6,45,0,0,3,3,no,0,3,1,2,0,no,Walking,Insufficient_Weight
1,25,1.7,83,1,1,2,3,Frequently,0,2,0,0,1,Sometimes,Public_Transportation,Overweight_Level_II
1,23,1.65,58.5,1,0,2,3,Sometimes,0,2,0,0,0,no,Public_Transportation,Normal_Weight
1,21,1.85,83,1,1,2,1,Frequently,0,3,0,1,0,no,Public_Transportation,Normal_Weight
1,19,1.82,87,1,1,2,3,Sometimes,0,2,0,0,0,no,Public_Transportation,Overweight_Level_I
0,22,1.65,65,1,1,2,3,Frequently,0,2,1,1,0,no,Automobile,Normal_Weight
0,29,1.7,78,1,1,3,3,Sometimes,0,1,0,2,1,Frequently,Automobile,Overweight_Level_II
0,25,1.63,93,0,0,3,4,Always,0,1,0,2,0,no,Public_Transportation,Obesity_Type_II
0,20,1.61,64,1,0,3,3,Always,0,2,1,0,1,Frequently,Public_Transportation,Normal_Weight
1,55,1.78,84,1,0,3,4,Frequently,0,3,1,3,0,Frequently,Walking,Overweight_Level_I
0,20,1.6,57,0,0,3,3,Always,0,2,0,1,0,no,Walking,Normal_Weight
0,24,1.6,48,0,1,3,3,Sometimes,0,2,0,2,0,no,Public_Transportation,Normal_Weight
1,26,1.7,70,1,0,3,1,Frequently,0,2,0,2,0,Frequently,Public_Transportation,Normal_Weight
0,23,1.66,60,1,0,2,3,Sometimes,0,2,0,3,0,Sometimes,Public_Transportation,Normal_Weight
0,21,1.52,42,0,0,3,1,Frequently,0,1,0,0,0,Sometimes,Public_Transportation,Insufficient_Weight
0,21,1.52,42,0,0,3,1,Frequently,0,1,0,0,0,Sometimes,Public_Transportation,Insufficient_Weight
1,23,1.72,70,0,0,2,3,Sometimes,0,2,0,3,1,Frequently,Public_Transportation,Normal_Weight
0,21,1.69,63,0,1,3,1,Sometimes,0,1,0,0,0,Sometimes,Public_Transportation,Normal_Weight
1,22,1.7,66.4,1,0,2,3,Frequently,0,2,0,0,0,no,Public_Transportation,Normal_Weight
0,21,1.55,57,0,1,2,4,Frequently,0,2,1,2,0,Sometimes,Automobile,Normal_Weight
0,22,1.65,58,1,1,3,4,Frequently,0,2,0,1,0,Sometimes,Public_Transportation,Normal_Weight
0,38,1.56,80,1,1,2,3,Sometimes,0,2,0,0,0,Sometimes,Automobile,Obesity_Type_I
0,25,1.57,55,0,1,2,1,Sometimes,0,2,0,2,0,Sometimes,Public_Transportation,Normal_Weight
0,25,1.57,55,0,1,2,1,Sometimes,0,2,0,2,0,Sometimes,Public_Transportation,Normal_Weight
1,22,1.88,90,1,1,2,3,Always,0,1,0,0,1,Sometimes,Automobile,Overweight_Level_I
1,22,1.75,95,1,0,2,3,Sometimes,0,3,0,3,2,no,Walking,Obesity_Type_I
0,21,1.65,88,1,1,3,1,Sometimes,0,3,0,2,1,no,Public_Transportation,Obesity_Type_I
1,21,1.75,75,1,1,3,3,Sometimes,0,2,0,0,1,Sometimes,Public_Transportation,Normal_Weight
0,22,1.58,58,1,1,2,1,Sometimes,0,1,0,0,0,no,Public_Transportation,Normal_Weight
0,18,1.56,51,1,1,2,4,Frequently,0,2,0,1,0,Sometimes,Public_Transportation,Normal_Weight
0,22,1.5,49,1,0,2,1,Sometimes,0,2,0,3,0,no,Walking,Normal_Weight
0,19,1.61,62,1,1,3,1,Frequently,0,2,0,1,0,Frequently,Public_Transportation,Normal_Weight
0,17,1.75,57,1,1,3,3,Frequently,0,2,0,0,1,no,Public_Transportation,Normal_Weight
0,15,1.65,86,1,1,3,3,Sometimes,0,1,0,3,2,no,Walking,Obesity_Type_I
0,17,1.7,85,1,0,2,3,Frequently,0,2,0,1,1,no,Public_Transportation,Overweight_Level_II
1,23,1.62,53,1,1,2,3,Sometimes,0,2,0,1,1,Sometimes,Public_Transportation,Normal_Weight
0,19,1.63,76,1,0,3,3,Frequently,1,3,0,2,1,Sometimes,Automobile,Overweight_Level_II
0,23,1.67,75,1,1,2,3,Frequently,1,2,0,0,2,no,Walking,Overweight_Level_I
1,23,1.87,95,1,1,1,3,Frequently,0,2,0,0,2,Frequently,Public_Transportation,Overweight_Level_II
1,21,1.75,50,1,0,3,4,Frequently,0,1,0,1,0,no,Walking,Insufficient_Weight
1,24,1.66,67,1,1,3,1,Sometimes,0,2,0,1,0,no,Public_Transportation,Normal_Weight
1,23,1.76,90,0,1,3,3,Sometimes,0,1,0,0,0,no,Public_Transportation,Overweight_Level_II
1,18,1.75,80,1,1,2,3,Always,0,2,0,0,0,Frequently,Public_Transportation,Overweight_Level_I
1,19,1.67,68,0,1,2,3,Sometimes,0,2,0,1,0,Sometimes,Public_Transportation,Normal_Weight
0,19,1.65,61,0,1,3,1,Sometimes,0,3,1,1,0,Sometimes,Public_Transportation,Normal_Weight
1,20,1.72,70,1,1,3,3,Frequently,0,1,0,0,0,Sometimes,Public_Transportation,Normal_Weight
1,27,1.7,78,0,1,3,3,Sometimes,0,3,0,1,1,Frequently,Public_Transportation,Overweight_Level_II
0,20,1.58,53,1,1,2,4,Frequently,0,2,0,1,1,no,Public_Transportation,Normal_Weight
1,23,1.62,58,0,0,2,3,Sometimes,0,1,0,1,0,no,Public_Transportation,Normal_Weight
0,19,1.65,56,1,1,3,3,Frequently,1,3,1,1,2,Frequently,Public_Transportation,Normal_Weight
0,61,1.65,66,0,1,3,3,Always,0,2,0,1,1,Frequently,Public_Transportation,Normal_Weight
1,30,1.77,109,1,1,3,3,Sometimes,0,1,0,2,0,Sometimes,Automobile,Obesity_Type_I
1,24,1.7,75,1,1,2,3,Sometimes,0,2,0,1,0,Sometimes,Automobile,Overweight_Level_I
1,25,1.79,72,1,1,2,3,Sometimes,0,2,0,1,1,Sometimes,Public_Transportation,Normal_Weight
1,44,1.6,80,1,0,2,3,Sometimes,1,3,0,0,0,no,Motorbike,Obesity_Type_I
1,31,1.76,75,1,0,3,3,Always,0,3,1,3,0,no,Bike,Normal_Weight
1,25,1.7,68,0,1,2,3,Frequently,0,2,0,0,1,no,Public_Transportation,Normal_Weight
1,23,1.89,65,1,1,3,3,Frequently,0,3,0,1,1,Sometimes,Public_Transportation,Insufficient_Weight
1,25,1.87,66,0,1,3,3,Always,0,2,0,2,0,Frequently,Public_Transportation,Normal_Weight
1,23,1.74,93.5,0,1,2,3,Frequently,1,1,0,1,1,Frequently,Automobile,Obesity_Type_I
0,34,1.68,75,0,1,3,1,Sometimes,0,1,0,0,0,Sometimes,Automobile,Overweight_Level_I
1,22,1.61,67,1,0,2,4,Sometimes,0,3,1,2,2,Sometimes,Public_Transportation,Overweight_Level_I
1,21,1.62,70,0,1,2,1,no,0,3,0,1,0,Sometimes,Public_Transportation,Overweight_Level_I
0,24,1.56,51,0,0,3,3,Frequently,0,2,0,2,2,Frequently,Public_Transportation,Normal_Weight
0,36,1.63,80,1,0,3,3,Sometimes,0,1,0,0,0,Sometimes,Automobile,Obesity_Type_I
0,27,1.6,61,0,1,3,3,Always,0,2,0,0,0,Sometimes,Automobile,Normal_Weight
0,32,1.67,90,1,1,3,1,Sometimes,0,2,0,2,0,Sometimes,Automobile,Obesity_Type_I
1,25,1.78,78,1,1,2,1,Sometimes,0,2,0,2,1,Sometimes,Public_Transportation,Normal_Weight
0,30,1.62,59,1,1,3,3,Sometimes,0,2,0,2,0,Sometimes,Automobile,Normal_Weight
0,38,1.5,60,1,1,2,1,Always,1,2,0,0,0,Sometimes,Automobile,Overweight_Level_I
1,34,1.69,84,1,0,2,3,Sometimes,0,3,0,2,0,no,Automobile,Overweight_Level_II
1,22,1.74,94,1,1,2,3,Sometimes,0,2,0,0,0,Sometimes,Public_Transportation,Obesity_Type_I
0,31,1.68,63,1,1,3,1,Frequently,0,2,0,1,1,Sometimes,Automobile,Normal_Weight
0,35,1.53,45,1,0,3,3,Frequently,0,1,0,0,1,no,Automobile,Normal_Weight
1,21,1.67,60,1,1,2,3,Frequently,0,2,0,2,1,Sometimes,Public_Transportation,Normal_Weight
0,40,1.55,62,1,0,3,3,Sometimes,0,3,0,0,0,Sometimes,Automobile,Overweight_Level_I
1,27,1.64,78,1,1,2,1,Sometimes,0,2,0,0,0,Frequently,Automobile,Overweight_Level_II
1,20,1.83,72,1,0,3,3,Sometimes,1,1,0,2,1,Sometimes,Public_Transportation,Normal_Weight
1,55,1.65,80,0,1,2,3,Sometimes,0,2,0,1,0,no,Automobile,Overweight_Level_II
0,21,1.63,60,1,1,3,3,Always,1,2,0,2,0,Sometimes,Public_Transportation,Normal_Weight
1,25,1.89,75,0,0,3,3,Frequently,0,2,1,3,0,no,Public_Transportation,Normal_Weight
1,35,1.77,85,1,0,3,3,Frequently,0,3,0,2,1,Sometimes,Automobile,Overweight_Level_II
1,30,1.92,130,1,0,2,3,Sometimes,1,1,0,1,0,Sometimes,Public_Transportation,Obesity_Type_II
0,29,1.74,72,1,0,3,3,Always,0,2,0,0,0,Sometimes,Automobile,Normal_Weight
1,20,1.65,80,1,0,2,3,Sometimes,0,2,0,1,2,no,Walking,Overweight_Level_II
0,22,1.73,79,1,1,2,1,Sometimes,0,2,0,1,0,Sometimes,Public_Transportation,Overweight_Level_I
0,45,1.63,77,1,1,2,3,Frequently,0,1,0,0,0,no,Automobile,Overweight_Level_II
1,22,1.72,82,0,1,2,1,Sometimes,0,2,0,2,1,Sometimes,Public_Transportation,Overweight_Level_II
1,18,1.6,58,1,1,2,3,Frequently,0,2,0,1,0,Sometimes,Public_Transportation,Normal_Weight
0,23,1.65,59,0,0,3,1,Sometimes,0,2,0,1,2,Sometimes,Public_Transportation,Normal_Weight
1,18,1.74,64,0,0,3,3,Sometimes,0,2,1,0,1,no,Public_Transportation,Normal_Weight
1,21,1.62,70,0,1,2,1,no,0,3,0,1,0,Sometimes,Public_Transportation,Overweight_Level_I
0,38,1.64,59.8,1,1,2,3,Sometimes,0,2,0,2,0,no,Public_Transportation,Normal_Weight
0,18,1.57,48,1,1,3,1,Always,0,1,0,1,0,no,Public_Transportation,Normal_Weight
1,22,1.84,84,1,1,3,3,Frequently,0,2,1,3,0,Sometimes,Public_Transportation,Normal_Weight
1,26,1.91,84,1,1,3,3,Frequently,1,2,0,2,2,Frequently,Public_Transportation,Normal_Weight
1,21,1.62,70,0,1,2,1,no,0,3,0,1,0,Sometimes,Public_Transportation,Overweight_Level_I
0,18,1.58,48,0,1,2,3,Sometimes,0,2,0,1,0,no,Public_Transportation,Normal_Weight
0,23,1.68,67,1,1,2,3,Frequently,0,1,0,0,0,Sometimes,Public_Transportation,Normal_Weight
0,22,1.68,52,0,1,3,3,Frequently,0,2,0,0,1,no,Public_Transportation,Insufficient_Weight
0,23,1.48,60,1,1,2,1,Sometimes,1,1,0,0,0,Sometimes,Public_Transportation,Overweight_Level_II
1,21,1.62,70,0,1,2,1,no,0,3,0,1,0,Sometimes,Public_Transportation,Overweight_Level_I
0,31,1.62,68,0,0,3,3,Sometimes,0,2,0,1,0,Sometimes,Automobile,Overweight_Level_I
1,39,1.78,96,1,0,2,3,Sometimes,0,3,0,1,0,Frequently,Automobile,Obesity_Type_I
1,25,1.78,98,1,0,2,3,Sometimes,0,3,0,3,2,no,Public_Transportation,Obesity_Type_I
1,35,1.78,105,1,1,3,1,no,0,3,0,3,1,Frequently,Automobile,Obesity_Type_I
0,33,1.63,62,1,1,2,3,Sometimes,0,2,0,1,1,no,Public_Transportation,Normal_Weight
1,20,1.6,56,0,1,2,3,Sometimes,0,2,0,1,0,Sometimes,Public_Transportation,Normal_Weight
1,26,1.75,80,1,1,3,1,Frequently,1,2,1,2,0,Sometimes,Public_Transportation,Overweight_Level_I
1,20,1.83,85,1,0,3,3,Sometimes,0,3,1,3,0,Sometimes,Automobile,Overweight_Level_I
1,20,1.78,68,0,0,2,1,Frequently,0,3,1,2,1,no,Public_Transportation,Normal_Weight
0,23,1.6,83,1,1,3,3,Frequently,0,3,0,3,0,no,Public_Transportation,Obesity_Type_I
1,19,1.8,85,1,1,3,3,Sometimes,0,2,0,1,1,Sometimes,Walking,Overweight_Level_I
1,22,1.75,74,1,0,2,3,Sometimes,0,2,0,1,2,Sometimes,Bike,Normal_Weight
1,41,1.75,118,1,1,2,3,Sometimes,0,2,0,0,0,Sometimes,Bike,Obesity_Type_II
0,18,1.59,40,1,1,2,1,Frequently,0,1,0,0,2,no,Public_Transportation,Insufficient_Weight
0,23,1.66,60,1,1,2,1,Sometimes,0,1,0,1,1,Sometimes,Public_Transportation,Normal_Weight
0,23,1.63,83,1,0,3,1,Sometimes,1,3,0,1,2,Sometimes,Public_Transportation,Obesity_Type_I
0,41,1.54,80,1,1,2,3,Always,0,1,0,0,0,Sometimes,Automobile,Obesity_Type_I
0,26,1.56,102,1,1,3,3,Sometimes,1,1,0,0,1,Sometimes,Public_Transportation,Obesity_Type_III
1,29,1.69,90,1,0,2,3,Sometimes,0,3,0,1,0,Sometimes,Automobile,Obesity_Type_I
1,27,1.83,71,1,1,2,3,Sometimes,0,2,0,3,2,no,Automobile,Normal_Weight
0,23,1.6,78,1,1,2,1,Sometimes,1,2,0,1,0,Frequently,Public_Transportation,Obesity_Type_I
1,19,1.75,100,1,1,2,3,Frequently,0,2,0,2,0,no,Public_Transportation,Obesity_Type_I
1,30,1.75,73,1,0,2,3,no,0,2,1,1,0,Sometimes,Walking,Normal_Weight
0,22,1.69,65,1,1,2,3,Sometimes,0,2,0,1,1,Sometimes,Public_Transportation,Normal_Weight
0,22,1.69,65,1,1,2,3,Sometimes,0,2,0,1,1,Sometimes,Public_Transportation,Normal_Weight
1,20,1.8,114,1,1,2,3,Frequently,0,2,0,0,1,no,Public_Transportation,Obesity_Type_II
0,21,1.63,51,0,1,2,1,Sometimes,0,1,0,1,1,no,Public_Transportation,Normal_Weight
0,24,1.5,63,1,0,2,1,Sometimes,0,2,0,0,0,no,Public_Transportation,Overweight_Level_II
1,21,1.8,62,1,1,3,3,Sometimes,0,2,0,1,0,no,Public_Transportation,Normal_Weight
1,21,1.65,53,1,1,2,3,Sometimes,0,2,0,1,0,Sometimes,Public_Transportation,Normal_Weight
1,21,1.68,70,1,1,3,3,Sometimes,0,3,0,0,2,Sometimes,Public_Transportation,Normal_Weight
0,23,1.6,63,1,0,3,3,Frequently,0,2,0,3,0,Sometimes,Walking,Normal_Weight
1,21,1.71,75,0,0,2,3,Frequently,0,3,1,3,1,Frequently,Automobile,Overweight_Level_I
0,21,1.5,42.3,1,0,1,1,Sometimes,0,2,0,3,0,no,Public_Transportation,Normal_Weight
0,21,1.6,68,1,1,2,3,Sometimes,0,3,0,1,0,Sometimes,Public_Transportation,Overweight_Level_I
0,21,1.75,78,1,0,2,3,Frequently,0,2,1,0,2,Frequently,Public_Transportation,Overweight_Level_I
1,23,1.72,82,1,1,2,1,Sometimes,0,1,0,1,1,Sometimes,Public_Transportation,Overweight_Level_II
0,21,1.72,66.5,1,1,3,4,Always,0,3,0,0,2,no,Public_Transportation,Normal_Weight
0,22,1.61,63,1,1,3,3,Frequently,0,3,0,1,0,no,Public_Transportation,Normal_Weight
0,23,1.63,82,1,1,2,1,Sometimes,0,2,0,0,0,no,Public_Transportation,Obesity_Type_I
1,25,1.83,121,1,0,3,3,Sometimes,0,3,0,2,0,Sometimes,Walking,Obesity_Type_II
0,20,1.6,50,0,1,2,3,Sometimes,0,1,0,0,1,no,Automobile,Normal_Weight
0,24,1.62,58,0,1,3,3,Sometimes,0,2,0,1,1,Sometimes,Public_Transportation,Normal_Weight
0,40,1.68,80,0,0,3,3,Sometimes,0,3,0,0,0,no,Automobile,Overweight_Level_II
1,32,1.75,120,1,0,3,3,Sometimes,0,3,0,0,2,no,Automobile,Obesity_Type_II
1,20,1.9,91,1,1,3,4,Sometimes,0,3,0,2,0,Sometimes,Walking,Overweight_Level_I
0,21,1.63,66,1,1,3,1,Sometimes,1,3,0,0,0,Sometimes,Public_Transportation,Normal_Weight
0,51,1.59,50,1,0,3,3,Sometimes,1,3,1,2,0,no,Public_Transportation,Normal_Weight
0,34,1.68,77,1,0,3,1,Sometimes,0,2,0,1,0,Sometimes,Automobile,Overweight_Level_II
0,19,1.59,49,1,1,2,1,no,0,2,0,2,0,no,Public_Transportation,Normal_Weight
0,19,1.69,70,1,0,2,1,no,0,2,0,2,0,no,Public_Transportation,Normal_Weight
0,21,1.66,59,0,1,1,3,Always,0,2,1,3,0,no,Automobile,Normal_Weight
0,19,1.64,53,1,1,3,3,Sometimes,0,1,0,1,1,no,Public_Transportation,Normal_Weight
0,20,1.62,53,0,1,3,1,Sometimes,0,3,0,1,1,no,Public_Transportation,Normal_Weight
0,19,1.7,64,1,1,3,3,no,0,3,1,3,1,no,Public_Transportation,Normal_Weight
0,17,1.63,65,0,1,2,1,Sometimes,0,3,0,1,1,no,Public_Transportation,Normal_Weight
1,22,1.6,66,0,1,3,3,Sometimes,0,2,0,3,0,no,Bike,Overweight_Level_I
0,20,1.63,64,1,1,1,3,Always,0,2,0,0,2,no,Automobile,Normal_Weight
1,33,1.85,99,1,1,2,3,Sometimes,1,3,0,1,0,Sometimes,Automobile,Overweight_Level_II
0,21,1.54,49,1,0,2,1,Sometimes,0,2,1,2,0,Sometimes,Public_Transportation,Normal_Weight
0,20,1.64,49,0,0,3,3,Sometimes,1,2,0,2,1,Sometimes,Automobile,Insufficient_Weight
0,20,1.57,60,0,1,3,3,Sometimes,0,3,0,0,1,Sometimes,Public_Transportation,Normal_Weight
0,20,1.62,52,0,1,3,3,Frequently,0,1,0,3,1,no,Automobile,Normal_Weight
1,21,1.72,72,1,1,3,3,Always,0,3,1,3,0,Sometimes,Automobile,Normal_Weight
1,21,1.76,78,1,1,3,1,Sometimes,0,2,0,3,0,Sometimes,Walking,Overweight_Level_I
0,20,1.65,75,1,1,3,1,Sometimes,0,2,0,1,1,no,Public_Transportation,Overweight_Level_II
1,20,1.67,78,1,0,2,1,Sometimes,0,3,0,0,0,Frequently,Automobile,Overweight_Level_II
1,56,1.79,90,1,0,2,3,Sometimes,1,2,0,1,0,Frequently,Automobile,Overweight_Level_II
0,26,1.59,47,1,1,2,1,Sometimes,0,2,0,0,2,Sometimes,Public_Transportation,Normal_Weight
0,22,1.64,56,1,0,3,3,Sometimes,0,2,0,0,0,no,Public_Transportation,Normal_Weight
1,19,1.78,81,1,0,1,3,Sometimes,0,2,0,3,0,no,Bike,Overweight_Level_I
1,18,1.75,85,1,0,2,3,Sometimes,0,3,0,1,0,Sometimes,Public_Transportation,Overweight_Level_II
1,19,1.85,115,0,0,2,3,Sometimes,0,3,1,1,2,no,Public_Transportation,Obesity_Type_I
1,18,1.7,80,0,0,3,1,Sometimes,0,1,0,1,0,no,Public_Transportation,Overweight_Level_II
